sex;age;marital;income;ls;smoke
FEMALE;41;MARRIED;NA;PLEASED;NO
MALE;60;SINGLE;900;MOSTLY DISSATISFIED;NO
MALE;74;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;52;MARRIED;2000;PLEASED;NO
MALE;25;SINGLE;NA;MOSTLY DISSATISFIED;NO
MALE;77;MARRIED;940;MIXED;NO
FEMALE;20;SINGLE;NA;MOSTLY SATISFIED;YES
MALE;40;MARRIED;1890;PLEASED;YES
FEMALE;31;DIVORCED;1050;MOSTLY SATISFIED;YES
MALE;64;MARRIED;1600;DELIGHTED;NO
FEMALE;30;SINGLE;1600;PLEASED;NO
FEMALE;27;SINGLE;1400;MOSTLY SATISFIED;NO
MALE;24;SINGLE;-8;PLEASED;NO
MALE;83;MARRIED;1600;MOSTLY SATISFIED;NO
FEMALE;21;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;37;MARRIED;-8;PLEASED;NO
FEMALE;80;MARRIED;1200;MIXED;NO
MALE;29;MARRIED;2300;MOSTLY SATISFIED;NO
MALE;48;MARRIED;1700;MOSTLY SATISFIED;NO
FEMALE;57;MARRIED;NA;PLEASED;NO
MALE;57;MARRIED;3000;PLEASED;NO
MALE;55;MARRIED;2000;MOSTLY SATISFIED;YES
FEMALE;75;MARRIED;901;MOSTLY SATISFIED;NO
FEMALE;81;MARRIED;1040;MOSTLY SATISFIED;NO
FEMALE;64;MARRIED;750;MIXED;NO
FEMALE;19;SINGLE;NA;MOSTLY SATISFIED;NO
MALE;30;MARRIED;3500;PLEASED;NO
FEMALE;58;DIVORCED;1200;MIXED;NO
FEMALE;20;SINGLE;NA;MOSTLY SATISFIED;NO
FEMALE;55;MARRIED;NA;PLEASED;NO
FEMALE;75;DIVORCED;953;MOSTLY DISSATISFIED;NO
FEMALE;58;MARRIED;680;MOSTLY SATISFIED;NO
FEMALE;45;MARRIED;1000;MIXED;NO
FEMALE;43;MARRIED;3000;MOSTLY DISSATISFIED;YES
MALE;56;WIDOWED;100;TERRIBLE;YES
MALE;39;SINGLE;1100;MOSTLY DISSATISFIED;YES
FEMALE;38;MARRIED;1000;MOSTLY SATISFIED;YES
FEMALE;44;MARRIED;2000;PLEASED;NO
MALE;62;MARRIED;3500;MIXED;NO
MALE;42;SINGLE;2000;MIXED;YES
MALE;26;SINGLE;-8;MIXED;NO
FEMALE;67;MARRIED;1880;MOSTLY SATISFIED;NO
MALE;30;MARRIED;2420;MIXED;YES
MALE;39;MARRIED;3000;PLEASED;NO
FEMALE;70;WIDOWED;1448;MOSTLY SATISFIED;YES
FEMALE;55;WIDOWED;2400;MOSTLY SATISFIED;NO
FEMALE;48;MARRIED;1200;MOSTLY SATISFIED;YES
MALE;35;MARRIED;15000;PLEASED;NO
FEMALE;78;WIDOWED;-8;MIXED;NO
MALE;46;MARRIED;3500;PLEASED;NO
MALE;50;SINGLE;560;MOSTLY DISSATISFIED;YES
MALE;44;MARRIED;300;MIXED;NO
FEMALE;18;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;32;MARRIED;NA;PLEASED;YES
FEMALE;56;MARRIED;1700;MIXED;NO
MALE;62;MARRIED;750;MIXED;YES
FEMALE;29;MARRIED;1300;PLEASED;YES
FEMALE;39;WIDOWED;900;PLEASED;NO
MALE;56;MARRIED;1500;PLEASED;YES
FEMALE;61;MARRIED;1800;PLEASED;NO
FEMALE;61;MARRIED;800;DELIGHTED;NO
FEMALE;86;WIDOWED;800;MOSTLY SATISFIED;NO
MALE;52;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;51;MARRIED;520;MOSTLY DISSATISFIED;YES
MALE;24;SINGLE;-8;MOSTLY SATISFIED;NO
MALE;54;MARRIED;7000;MIXED;YES
MALE;75;MARRIED;1700;MOSTLY SATISFIED;NO
FEMALE;70;MARRIED;1050;PLEASED;NO
FEMALE;40;MARRIED;1400;PLEASED;NO
MALE;30;MARRIED;1500;MOSTLY SATISFIED;YES
FEMALE;35;MARRIED;2000;PLEASED;NO
MALE;50;MARRIED;3000;PLEASED;NO
MALE;19;SINGLE;NA;MOSTLY SATISFIED;NO
FEMALE;43;MARRIED;1700;PLEASED;NO
FEMALE;41;SINGLE;2100;PLEASED;NO
MALE;55;MARRIED;1300;PLEASED;NO
FEMALE;43;WIDOWED;1000;MOSTLY DISSATISFIED;NO
MALE;51;MARRIED;2500;MOSTLY SATISFIED;YES
FEMALE;76;MARRIED;800;DELIGHTED;NO
FEMALE;36;MARRIED;1000;PLEASED;YES
FEMALE;29;MARRIED;500;PLEASED;NO
FEMALE;55;MARRIED;NA;PLEASED;NO
MALE;27;SINGLE;1900;PLEASED;NO
FEMALE;27;MARRIED;NA;MOSTLY SATISFIED;NO
FEMALE;50;DIVORCED;1500;MIXED;YES
FEMALE;24;SINGLE;1000;PLEASED;NO
FEMALE;63;MARRIED;1500;MOSTLY SATISFIED;YES
MALE;30;SINGLE;1400;MOSTLY SATISFIED;NO
FEMALE;59;MARRIED;1392;MIXED;NO
FEMALE;25;SINGLE;1500;PLEASED;NO
FEMALE;55;MARRIED;2300;MOSTLY SATISFIED;NO
FEMALE;44;MARRIED;1600;MOSTLY SATISFIED;YES
FEMALE;56;MARRIED;1000;PLEASED;NO
FEMALE;48;MARRIED;1500;PLEASED;YES
FEMALE;24;MARRIED;1000;MOSTLY SATISFIED;NO
MALE;24;SINGLE;1800;MOSTLY DISSATISFIED;NO
MALE;46;MARRIED;1500;PLEASED;NO
FEMALE;36;SINGLE;1500;PLEASED;NO
FEMALE;18;SINGLE;NA;DELIGHTED;NO
MALE;27;MARRIED;1076;PLEASED;YES
FEMALE;19;SINGLE;-8;PLEASED;NO
FEMALE;34;MARRIED;8255;PLEASED;NO
FEMALE;53;MARRIED;1200;MIXED;NO
MALE;66;MARRIED;3000;PLEASED;NO
FEMALE;62;MARRIED;1000;PLEASED;NO
FEMALE;51;MARRIED;800;MOSTLY SATISFIED;NO
FEMALE;76;WIDOWED;1100;MIXED;NO
MALE;38;MARRIED;800;MOSTLY SATISFIED;YES
FEMALE;37;DE FACTO SEPARATED;4200;MOSTLY SATISFIED;NO
MALE;38;MARRIED;600;MIXED;YES
MALE;52;SINGLE;NA;MIXED;NO
FEMALE;56;MARRIED;NA;PLEASED;YES
MALE;57;MARRIED;860;MOSTLY SATISFIED;NO
FEMALE;43;MARRIED;2300;PLEASED;NO
MALE;23;SINGLE;NA;PLEASED;NO
FEMALE;65;WIDOWED;4200;PLEASED;NO
MALE;50;MARRIED;2000;PLEASED;YES
MALE;35;MARRIED;600;MOSTLY SATISFIED;YES
FEMALE;63;MARRIED;660;MOSTLY SATISFIED;NO
MALE;47;MARRIED;-8;MOSTLY SATISFIED;NO
FEMALE;60;MARRIED;1300;PLEASED;NO
FEMALE;17;SINGLE;NA;PLEASED;NO
FEMALE;50;MARRIED;1000;PLEASED;NO
FEMALE;81;WIDOWED;1480;PLEASED;NO
FEMALE;39;MARRIED;NA;MOSTLY SATISFIED;NO
MALE;69;MARRIED;960;PLEASED;NO
FEMALE;33;MARRIED;1400;PLEASED;NO
MALE;41;MARRIED;-8;MOSTLY SATISFIED;NO
FEMALE;21;SINGLE;1200;MIXED;NO
MALE;61;MARRIED;3200;DELIGHTED;NO
MALE;76;MARRIED;1200;MIXED;NO
FEMALE;54;MARRIED;-8;MIXED;NO
MALE;42;SINGLE;497;MIXED;NO
FEMALE;36;MARRIED;-8;PLEASED;YES
MALE;42;MARRIED;-8;PLEASED;NO
FEMALE;59;WIDOWED;690;MIXED;YES
FEMALE;74;MARRIED;1000;MOSTLY SATISFIED;NO
MALE;62;MARRIED;1900;PLEASED;NO
FEMALE;72;MARRIED;1120;PLEASED;NO
MALE;24;SINGLE;1800;MOSTLY SATISFIED;NO
FEMALE;47;WIDOWED;1700;PLEASED;NO
MALE;57;DIVORCED;1600;MIXED;YES
MALE;53;MARRIED;2500;DELIGHTED;NO
FEMALE;79;WIDOWED;1000;MIXED;NO
FEMALE;47;DIVORCED;1800;MIXED;YES
FEMALE;25;MARRIED;-8;MIXED;NO
MALE;27;MARRIED;-8;DELIGHTED;NO
MALE;36;SINGLE;4000;PLEASED;YES
FEMALE;45;MARRIED;1400;MOSTLY SATISFIED;NO
MALE;55;MARRIED;3000;PLEASED;NO
MALE;55;MARRIED;1720;PLEASED;NO
MALE;80;MARRIED;1100;MOSTLY SATISFIED;NO
FEMALE;54;MARRIED;1000;PLEASED;NO
FEMALE;22;SINGLE;-8;PLEASED;NO
FEMALE;34;MARRIED;NA;MIXED;NO
MALE;39;MARRIED;5000;PLEASED;YES
FEMALE;61;MARRIED;1300;MOSTLY SATISFIED;NO
FEMALE;36;MARRIED;1500;PLEASED;NO
FEMALE;52;DIVORCED;1800;MIXED;NO
FEMALE;63;MARRIED;2000;PLEASED;NO
MALE;42;SINGLE;780;MOSTLY DISSATISFIED;YES
MALE;65;MARRIED;1300;PLEASED;NO
FEMALE;92;WIDOWED;850;MIXED;NO
FEMALE;52;MARRIED;NA;MOSTLY SATISFIED;YES
MALE;45;MARRIED;2500;PLEASED;NO
FEMALE;18;SINGLE;NA;MOSTLY SATISFIED;NO
MALE;22;SINGLE;-8;MIXED;YES
MALE;38;MARRIED;2200;PLEASED;NO
MALE;57;MARRIED;700;MOSTLY SATISFIED;NO
MALE;42;MARRIED;NA;MOSTLY SATISFIED;NO
FEMALE;25;MARRIED;750;PLEASED;NO
FEMALE;24;SINGLE;NA;PLEASED;NO
FEMALE;74;WIDOWED;1070;MOSTLY SATISFIED;NO
FEMALE;30;MARRIED;NA;DELIGHTED;NO
MALE;64;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;57;MARRIED;-8;MIXED;NO
FEMALE;64;SINGLE;1260;MOSTLY SATISFIED;NO
FEMALE;24;SINGLE;1050;MOSTLY SATISFIED;NO
MALE;24;SINGLE;1500;PLEASED;NO
MALE;19;SINGLE;-8;PLEASED;NO
FEMALE;34;MARRIED;-8;PLEASED;NO
FEMALE;78;MARRIED;NA;PLEASED;NO
MALE;55;MARRIED;2000;MOSTLY SATISFIED;NO
MALE;42;MARRIED;3000;PLEASED;YES
MALE;43;SINGLE;NA;MOSTLY SATISFIED;NO
FEMALE;75;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;73;WIDOWED;1200;PLEASED;NO
FEMALE;47;DIVORCED;2000;MOSTLY SATISFIED;YES
MALE;64;MARRIED;2000;PLEASED;NO
FEMALE;69;WIDOWED;1200;MOSTLY SATISFIED;NO
MALE;57;MARRIED;360;MOSTLY SATISFIED;NO
MALE;65;MARRIED;2700;MIXED;NO
FEMALE;81;MARRIED;1400;PLEASED;NO
FEMALE;50;MARRIED;1280;MOSTLY SATISFIED;NO
MALE;35;MARRIED;3500;DELIGHTED;NO
FEMALE;54;MARRIED;1600;PLEASED;YES
FEMALE;38;MARRIED;NA;MIXED;YES
FEMALE;37;MARRIED;2200;MIXED;NO
MALE;30;SINGLE;1800;MIXED;NO
FEMALE;58;MARRIED;900;PLEASED;NO
MALE;60;MARRIED;1000;PLEASED;NO
MALE;84;WIDOWED;2121;MOSTLY DISSATISFIED;NO
MALE;56;MARRIED;1000;MOSTLY SATISFIED;YES
FEMALE;57;MARRIED;-8;PLEASED;NO
MALE;52;MARRIED;-8;PLEASED;NO
FEMALE;35;MARRIED;NA;MOSTLY SATISFIED;NO
FEMALE;62;MARRIED;NA;PLEASED;NO
MALE;63;SINGLE;500;MIXED;NO
FEMALE;38;MARRIED;-8;MOSTLY DISSATISFIED;NO
FEMALE;50;MARRIED;-8;MIXED;YES
MALE;26;SINGLE;-8;PLEASED;YES
FEMALE;42;DIVORCED;600;MOSTLY SATISFIED;YES
MALE;21;SINGLE;NA;PLEASED;NO
MALE;46;MARRIED;2000;MIXED;YES
MALE;63;MARRIED;4000;PLEASED;NO
FEMALE;60;MARRIED;700;MIXED;NO
FEMALE;29;SINGLE;2000;UNHAPPY;NO
FEMALE;52;MARRIED;250;MIXED;YES
FEMALE;73;MARRIED;2050;MOSTLY SATISFIED;NO
MALE;48;MARRIED;-8;MOSTLY SATISFIED;NO
FEMALE;20;SINGLE;1000;MOSTLY SATISFIED;NO
MALE;25;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;56;MARRIED;1100;MOSTLY SATISFIED;NO
FEMALE;41;MARRIED;1200;PLEASED;YES
MALE;50;MARRIED;1200;PLEASED;NO
FEMALE;52;WIDOWED;588;MOSTLY DISSATISFIED;NO
FEMALE;43;MARRIED;1800;PLEASED;NO
MALE;47;SINGLE;6000;PLEASED;YES
FEMALE;32;MARRIED;-8;DELIGHTED;NO
FEMALE;33;MARRIED;-8;PLEASED;NO
FEMALE;31;MARRIED;NA;PLEASED;NO
FEMALE;37;MARRIED;5000;MOSTLY SATISFIED;YES
FEMALE;74;MARRIED;700;PLEASED;NO
MALE;53;DIVORCED;1400;MIXED;NA
MALE;22;SINGLE;NA;MIXED;NO
FEMALE;23;SINGLE;460;MOSTLY SATISFIED;NO
FEMALE;76;WIDOWED;1000;MIXED;NO
MALE;29;MARRIED;1100;MOSTLY SATISFIED;YES
MALE;33;SINGLE;2800;MOSTLY SATISFIED;NO
MALE;59;MARRIED;760;MIXED;NO
FEMALE;32;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;69;MARRIED;1500;PLEASED;NO
MALE;77;MARRIED;1400;PLEASED;NO
MALE;59;MARRIED;1500;MIXED;YES
MALE;21;SINGLE;NA;PLEASED;NO
MALE;60;MARRIED;600;UNHAPPY;NO
MALE;65;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;92;WIDOWED;1300;MIXED;NO
MALE;51;MARRIED;-8;PLEASED;NO
FEMALE;58;MARRIED;-8;MOSTLY SATISFIED;NO
MALE;39;MARRIED;3000;MIXED;NO
FEMALE;80;WIDOWED;1000;MOSTLY DISSATISFIED;NO
MALE;55;MARRIED;700;MOSTLY SATISFIED;NO
FEMALE;53;MARRIED;NA;MOSTLY SATISFIED;YES
FEMALE;27;MARRIED;1200;PLEASED;NO
MALE;36;MARRIED;1000;PLEASED;NO
FEMALE;72;MARRIED;1100;MOSTLY SATISFIED;NO
FEMALE;74;MARRIED;1650;MOSTLY SATISFIED;NO
FEMALE;65;MARRIED;740;MOSTLY SATISFIED;NO
FEMALE;31;MARRIED;1500;PLEASED;NO
FEMALE;58;MARRIED;1110;MOSTLY SATISFIED;NO
FEMALE;74;MARRIED;790;PLEASED;NO
FEMALE;55;DIVORCED;2000;PLEASED;YES
FEMALE;32;SINGLE;678;MIXED;NO
MALE;26;MARRIED;3000;MOSTLY SATISFIED;NO
FEMALE;53;MARRIED;5000;PLEASED;YES
MALE;61;WIDOWED;900;PLEASED;YES
FEMALE;22;SINGLE;NA;PLEASED;NO
FEMALE;28;SINGLE;3200;DELIGHTED;YES
MALE;66;MARRIED;1300;PLEASED;YES
FEMALE;55;MARRIED;1200;MOSTLY SATISFIED;NO
FEMALE;74;MARRIED;-8;PLEASED;NO
FEMALE;78;SINGLE;1600;PLEASED;NO
MALE;54;MARRIED;150;MIXED;YES
FEMALE;58;WIDOWED;1111;MOSTLY SATISFIED;NO
MALE;58;MARRIED;5000;MOSTLY SATISFIED;NO
FEMALE;49;MARRIED;1800;PLEASED;NO
MALE;51;MARRIED;NA;PLEASED;NO
FEMALE;34;MARRIED;1000;PLEASED;NO
FEMALE;42;MARRIED;-8;MOSTLY SATISFIED;NO
FEMALE;66;MARRIED;2000;PLEASED;NO
MALE;59;MARRIED;1300;PLEASED;YES
FEMALE;74;MARRIED;700;MOSTLY SATISFIED;NO
FEMALE;52;DIVORCED;740;MOSTLY SATISFIED;NO
FEMALE;71;WIDOWED;900;MIXED;NO
FEMALE;51;MARRIED;2000;PLEASED;NO
MALE;53;MARRIED;-8;MOSTLY SATISFIED;YES
MALE;39;MARRIED;2200;PLEASED;YES
MALE;41;SINGLE;200;MIXED;YES
FEMALE;23;SINGLE;1500;DELIGHTED;YES
MALE;55;MARRIED;1000;TERRIBLE;NO
FEMALE;63;MARRIED;NA;PLEASED;NO
FEMALE;81;WIDOWED;1200;MIXED;NO
MALE;73;MARRIED;-8;PLEASED;NO
MALE;50;MARRIED;-8;MIXED;NO
FEMALE;55;MARRIED;-8;PLEASED;NO
FEMALE;20;SINGLE;NA;PLEASED;YES
FEMALE;65;MARRIED;1200;PLEASED;NO
MALE;65;MARRIED;2450;PLEASED;NO
MALE;18;SINGLE;NA;PLEASED;NO
FEMALE;60;WIDOWED;2800;MOSTLY SATISFIED;NO
MALE;38;MARRIED;4771;MOSTLY SATISFIED;NO
FEMALE;73;WIDOWED;1100;MIXED;NO
MALE;50;MARRIED;300;MOSTLY SATISFIED;NO
MALE;17;SINGLE;NA;MIXED;NO
MALE;36;MARRIED;2700;PLEASED;YES
FEMALE;79;WIDOWED;890;MIXED;NO
FEMALE;64;MARRIED;1000;PLEASED;NO
FEMALE;54;MARRIED;528;TERRIBLE;NO
MALE;81;MARRIED;2617;PLEASED;NO
MALE;24;SINGLE;-8;PLEASED;NO
MALE;26;MARRIED;6400;PLEASED;NO
FEMALE;49;WIDOWED;620;UNHAPPY;YES
FEMALE;58;WIDOWED;NA;MIXED;YES
FEMALE;61;MARRIED;836;PLEASED;NO
MALE;22;SINGLE;NA;MOSTLY SATISFIED;NO
FEMALE;39;MARRIED;1800;PLEASED;YES
FEMALE;67;WIDOWED;800;PLEASED;NO
MALE;20;SINGLE;2000;PLEASED;YES
FEMALE;69;MARRIED;-8;DELIGHTED;NO
MALE;79;MARRIED;1000;MIXED;NO
FEMALE;47;MARRIED;NA;MOSTLY SATISFIED;NO
FEMALE;58;MARRIED;1200;MOSTLY DISSATISFIED;NO
MALE;33;SINGLE;2000;MOSTLY SATISFIED;NO
MALE;35;MARRIED;4500;MOSTLY SATISFIED;YES
MALE;25;SINGLE;NA;PLEASED;NO
FEMALE;63;MARRIED;1000;PLEASED;NO
FEMALE;60;WIDOWED;2000;PLEASED;YES
FEMALE;54;MARRIED;700;MIXED;NO
FEMALE;30;SINGLE;1300;MOSTLY DISSATISFIED;YES
FEMALE;29;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;37;MARRIED;-8;DELIGHTED;NO
FEMALE;38;MARRIED;900;MOSTLY DISSATISFIED;YES
FEMALE;22;SINGLE;1400;PLEASED;YES
FEMALE;19;SINGLE;-8;TERRIBLE;YES
FEMALE;34;MARRIED;1000;MIXED;YES
FEMALE;64;DIVORCED;890;MOSTLY SATISFIED;NO
MALE;25;SINGLE;1600;MIXED;NO
FEMALE;35;MARRIED;2200;PLEASED;NO
FEMALE;62;WIDOWED;800;MOSTLY SATISFIED;YES
FEMALE;54;MARRIED;1100;MOSTLY SATISFIED;NO
FEMALE;20;SINGLE;NA;MOSTLY SATISFIED;NO
MALE;23;SINGLE;1900;DELIGHTED;NO
MALE;69;MARRIED;1380;MOSTLY SATISFIED;NO
FEMALE;56;MARRIED;1900;PLEASED;NO
MALE;48;MARRIED;1200;MOSTLY SATISFIED;YES
FEMALE;58;DIVORCED;1290;TERRIBLE;NO
FEMALE;51;WIDOWED;630;UNHAPPY;NO
FEMALE;19;SINGLE;-8;MIXED;NO
FEMALE;56;MARRIED;1370;PLEASED;NO
MALE;53;MARRIED;1700;PLEASED;NO
FEMALE;89;WIDOWED;980;MOSTLY SATISFIED;NO
FEMALE;22;SINGLE;NA;DELIGHTED;NO
FEMALE;33;MARRIED;1320;PLEASED;NO
FEMALE;62;DIVORCED;1040;MOSTLY DISSATISFIED;NO
FEMALE;80;MARRIED;870;PLEASED;NO
FEMALE;37;MARRIED;1500;PLEASED;NO
MALE;21;SINGLE;-8;MOSTLY DISSATISFIED;NO
FEMALE;39;MARRIED;1450;MOSTLY SATISFIED;NO
MALE;22;SINGLE;-8;PLEASED;NO
FEMALE;28;MARRIED;2000;PLEASED;NO
MALE;17;SINGLE;NA;PLEASED;NO
MALE;53;DIVORCED;500;MOSTLY DISSATISFIED;YES
FEMALE;74;MARRIED;800;MOSTLY SATISFIED;NO
FEMALE;31;NA;1240;MOSTLY SATISFIED;NO
MALE;59;SINGLE;1600;MOSTLY DISSATISFIED;YES
MALE;53;MARRIED;2600;MOSTLY SATISFIED;YES
FEMALE;71;MARRIED;600;MOSTLY DISSATISFIED;NO
MALE;60;DIVORCED;1400;MOSTLY DISSATISFIED;NO
FEMALE;49;SINGLE;1800;MOSTLY SATISFIED;NO
MALE;52;MARRIED;3300;MOSTLY SATISFIED;YES
FEMALE;71;WIDOWED;900;MIXED;NO
FEMALE;26;MARRIED;150;PLEASED;YES
MALE;78;MARRIED;1300;MOSTLY SATISFIED;NO
FEMALE;61;MARRIED;1500;MOSTLY SATISFIED;NO
FEMALE;43;MARRIED;1000;PLEASED;NO
MALE;31;SINGLE;1800;PLEASED;YES
MALE;28;MARRIED;1500;PLEASED;NO
MALE;60;MARRIED;2300;PLEASED;NO
FEMALE;63;MARRIED;2300;MOSTLY SATISFIED;NO
MALE;59;MARRIED;-8;PLEASED;NO
MALE;37;MARRIED;3200;MOSTLY SATISFIED;NO
FEMALE;38;MARRIED;380;MOSTLY SATISFIED;NO
FEMALE;76;WIDOWED;2000;UNHAPPY;NO
MALE;58;MARRIED;1700;MIXED;NO
FEMALE;64;MARRIED;1900;MOSTLY SATISFIED;NO
FEMALE;66;WIDOWED;2000;MIXED;YES
FEMALE;52;WIDOWED;1100;MIXED;YES
MALE;61;MARRIED;2000;PLEASED;YES
FEMALE;79;WIDOWED;1000;PLEASED;NO
MALE;77;WIDOWED;1400;MOSTLY SATISFIED;YES
MALE;51;MARRIED;-8;PLEASED;YES
FEMALE;76;WIDOWED;1200;MOSTLY SATISFIED;NO
MALE;22;SINGLE;4800;MOSTLY SATISFIED;NO
FEMALE;40;MARRIED;450;PLEASED;NO
FEMALE;31;MARRIED;NA;MOSTLY SATISFIED;NO
FEMALE;29;MARRIED;NA;DELIGHTED;NO
MALE;21;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;46;SINGLE;520;MOSTLY SATISFIED;NO
MALE;64;MARRIED;800;PLEASED;YES
FEMALE;38;MARRIED;1846;MIXED;YES
MALE;18;SINGLE;NA;MOSTLY SATISFIED;NO
MALE;79;MARRIED;2300;MOSTLY SATISFIED;NO
MALE;48;MARRIED;1500;PLEASED;YES
FEMALE;36;MARRIED;NA;PLEASED;NO
MALE;45;MARRIED;3300;MOSTLY SATISFIED;YES
MALE;72;MARRIED;2800;MOSTLY SATISFIED;NO
MALE;22;SINGLE;NA;PLEASED;NO
MALE;39;MARRIED;1500;MOSTLY SATISFIED;YES
MALE;28;MARRIED;-8;MOSTLY SATISFIED;YES
MALE;71;MARRIED;1080;PLEASED;NO
FEMALE;24;SINGLE;NA;PLEASED;NO
MALE;69;MARRIED;1012;MOSTLY SATISFIED;NO
FEMALE;40;MARRIED;-8;PLEASED;NO
FEMALE;27;MARRIED;NA;PLEASED;NO
FEMALE;26;SINGLE;2000;PLEASED;NO
FEMALE;41;MARRIED;4500;MOSTLY SATISFIED;NO
MALE;22;SINGLE;1000;MIXED;YES
FEMALE;64;MARRIED;1290;MIXED;NO
FEMALE;19;MARRIED;NA;PLEASED;NO
FEMALE;18;SINGLE;NA;MOSTLY DISSATISFIED;NO
MALE;19;SINGLE;-8;MOSTLY SATISFIED;NO
FEMALE;63;MARRIED;980;MOSTLY SATISFIED;NO
MALE;41;MARRIED;1500;PLEASED;NO
MALE;54;MARRIED;1800;PLEASED;NO
FEMALE;17;SINGLE;-8;PLEASED;NO
MALE;24;SINGLE;NA;PLEASED;YES
MALE;26;SINGLE;1500;MOSTLY SATISFIED;NO
FEMALE;52;MARRIED;1950;PLEASED;NO
MALE;20;SINGLE;1200;PLEASED;YES
FEMALE;30;MARRIED;1000;MOSTLY SATISFIED;NO
FEMALE;58;MARRIED;1000;PLEASED;NO
FEMALE;42;MARRIED;-8;PLEASED;NO
MALE;24;SINGLE;1100;MIXED;NO
MALE;30;SINGLE;NA;MOSTLY SATISFIED;YES
MALE;17;SINGLE;NA;PLEASED;YES
FEMALE;17;SINGLE;NA;PLEASED;NO
MALE;55;MARRIED;-8;PLEASED;YES
MALE;20;SINGLE;NA;MOSTLY SATISFIED;NO
MALE;51;MARRIED;1900;PLEASED;NO
MALE;68;MARRIED;2600;PLEASED;NO
FEMALE;36;DIVORCED;1500;MOSTLY SATISFIED;NO
FEMALE;43;MARRIED;-8;MOSTLY SATISFIED;NO
MALE;52;MARRIED;-8;DELIGHTED;NO
MALE;40;MARRIED;1500;PLEASED;YES
FEMALE;29;MARRIED;300;MOSTLY SATISFIED;NO
MALE;73;MARRIED;2000;PLEASED;NO
FEMALE;63;MARRIED;1250;MOSTLY SATISFIED;NO
MALE;58;MARRIED;630;UNHAPPY;NO
FEMALE;53;MARRIED;NA;PLEASED;NO
MALE;34;MARRIED;2000;MOSTLY SATISFIED;NO
FEMALE;30;MARRIED;1000;PLEASED;YES
FEMALE;19;SINGLE;NA;MIXED;YES
FEMALE;86;WIDOWED;850;PLEASED;NO
MALE;21;SINGLE;300;PLEASED;NO
FEMALE;48;DE FACTO SEPARATED;1200;MIXED;NO
FEMALE;51;MARRIED;1500;MOSTLY SATISFIED;NO
MALE;21;MARRIED;972;MOSTLY SATISFIED;NO
MALE;18;SINGLE;128;MOSTLY SATISFIED;NO
FEMALE;78;MARRIED;650;MOSTLY SATISFIED;NO
FEMALE;64;MARRIED;612;MOSTLY SATISFIED;NO
FEMALE;20;SINGLE;NA;MOSTLY SATISFIED;YES
FEMALE;22;SINGLE;NA;PLEASED;YES
MALE;35;SINGLE;-8;MIXED;YES
MALE;68;MARRIED;1890;PLEASED;NO
